"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2026","2,114.93","2,113.27","2,121.94","2,070.46","61.37B","1.03%"
"08/27/2026","2,093.40","2,060.60","2,105.95","2,054.64","58.57B","1.07%"
"08/26/2026","2,071.30","2,098.67","2,109.21","2,067.32","47.23B","-2.17%"
"08/25/2026","2,117.15","2,093.16","2,146.14","2,063.38","71.63B","2.22%"
"08/24/2026","2,071.20","2,089.78","2,097.03","2,051.60","81.87B","-2.99%"
"08/21/2026","2,134.97","2,125.55","2,149.97","2,103.90","39.98B","0.63%"
"08/20/2026","2,121.53","2,169.68","2,189.03","2,113.58","61.86B","-2.34%"
"08/19/2026","2,172.38","2,163.23","2,179.83","2,133.74","48.44B","1.13%"
"08/18/2026","2,148.13","2,115.25","2,164.59","2,100.17","69.52B","2.62%"
"08/17/2026","2,093.22","2,103.39","2,138.96","2,085.14","69.39B","-2.02%"
"08/14/2026","2,136.35","2,232.79","2,245.57","2,130.39","91.40B","-4.29%"
"08/13/2026","2,232.14","2,293.18","2,297.94","2,229.16","73.53B","-3.01%"
"08/12/2026","2,301.43","2,330.92","2,331.67","2,288.01","54.54B","-0.96%"
"08/11/2026","2,323.82","2,320.13","2,328.18","2,309.49","51.40B","1.33%"
"08/10/2026","2,293.32","2,296.41","2,305.23","2,277.56","38.12B","0.53%"
"08/07/2026","2,281.31","2,294.24","2,310.40","2,270.75","51.24B","-0.20%"
"08/06/2026","2,285.88","2,295.11","2,316.85","2,266.11","58.50B","-0.69%"
"08/05/2026","2,301.65","2,278.21","2,301.65","2,278.21","55.03B","1.43%"
"08/04/2026","2,269.23","2,259.53","2,273.70","2,237.08","57.12B","0.29%"
"08/03/2026","2,262.75","2,241.73","2,263.52","2,240.54","39.63B","1.63%"
"07/31/2026","2,226.36","2,202.59","2,232.61","2,189.30","52.57B","0.75%"
"07/30/2026","2,209.84","2,261.30","2,281.20","2,207.28","73.86B","-1.22%"
