Date,Price,Open,High,Low,Vol.,Change %,LogReturn
09/01/2025,3875.53,"3,869.75","3,879.05","3,853.66",74.77B,0.46%,
09/02/2025,3858.13,"3,877.09","3,885.31","3,828.68",76.26B,-0.45%,-0.004499817514633129
09/03/2025,3813.56,"3,865.29","3,868.39","3,794.88",64.57B,-1.16%,-0.011619474055025728
09/04/2025,3765.88,"3,807.76","3,808.40","3,732.84",71.02B,-1.25%,-0.012581570395905378
09/05/2025,3812.51,"3,761.88","3,817.16","3,745.31",62.62B,1.24%,0.01230619920035267
09/08/2025,3826.84,"3,811.67","3,833.14","3,803.60",66.01B,0.38%,0.0037516324838078696
09/09/2025,3807.29,"3,816.66","3,834.67","3,791.72",60.02B,-0.51%,-0.005121747399314538
09/10/2025,3812.22,"3,806.58","3,827.00","3,794.06",53.45B,0.13%,0.0012940466481345147
09/11/2025,3875.31,"3,806.06","3,875.31","3,796.43",61.70B,1.65%,0.016413962991943268
09/12/2025,3870.6,"3,875.51","3,892.74","3,866.54",70.06B,-0.12%,-0.0012161258213670076
09/15/2025,3860.5,"3,876.10","3,879.74","3,855.97",64.48B,-0.26%,-0.002612825017380461
09/16/2025,3861.86,"3,865.98","3,876.69","3,838.65",67.34B,0.04%,0.00035222393518578236
09/17/2025,3876.34,"3,854.07","3,882.67","3,848.95",66.34B,0.37%,0.0037424767777336295
09/18/2025,3831.66,"3,876.06","3,899.96","3,801.00",87.60B,-1.15%,-0.011593279821038588
09/19/2025,3820.09,"3,830.44","3,843.17","3,811.90",68.23B,-0.30%,-0.0030241471082436337
09/22/2025,3828.58,"3,822.01","3,831.74","3,806.20",56.83B,0.22%,0.002219994714591225
09/23/2025,3821.83,"3,830.14","3,838.61","3,774.53",70.19B,-0.18%,-0.0017646117663087497
09/24/2025,3853.64,"3,804.48","3,854.92","3,804.33",60.21B,0.83%,0.008288790685855162
09/25/2025,3853.3,"3,852.43","3,866.11","3,840.46",59.00B,-0.01%,-8.823216483330974e-05
09/26/2025,3828.11,"3,839.86","3,856.61","3,828.11",55.13B,-0.65%,-0.006558715209643251
09/29/2025,3862.53,"3,828.17","3,881.00","3,809.54",60.85B,0.90%,0.008951200373960832
09/30/2025,3882.78,"3,869.70","3,887.57","3,866.28",56.97B,0.52%,0.00522898273666085
