"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","145,517","146,237","146,879","145,193","8.34B","-0.49%"
"09/30/2025","146,237","146,337","147,578","145,774","9.48B","-0.07%"
"09/29/2025","146,337","145,447","147,558","145,447","7.07B","0.61%"
"09/26/2025","145,447","145,326","146,235","145,146","6.34B","0.10%"
"09/25/2025","145,306","146,492","146,519","145,187","8.29B","-0.81%"
"09/24/2025","146,492","146,426","146,585","146,067","7.29B","0.05%"
"09/23/2025","146,425","145,112","147,178","145,107","8.14B","0.91%"
"09/22/2025","145,109","145,864","145,864","144,117","9.43B","-0.52%"
"09/19/2025","145,865","145,499","146,399","145,496","10.28B","0.25%"
"09/18/2025","145,499","145,594","145,726","144,993","8.37B","-0.06%"
"09/17/2025","145,594","144,059","146,331","143,910","9.60B","1.06%"
"09/16/2025","144,062","143,547","144,584","143,547","8.48B","0.36%"
"09/15/2025","143,547","142,292","144,194","142,292","6.61B","0.90%"
"09/12/2025","142,272","143,151","143,202","142,241","6.39B","-0.61%"
"09/11/2025","143,151","142,349","144,013","142,349","7.57B","0.56%"
"09/10/2025","142,349","141,612","143,182","141,612","7.14B","0.52%"
"09/09/2025","141,618","141,794","142,286","141,605","7.48B","-0.12%"
"09/08/2025","141,792","142,640","143,089","141,329","7.44B","-0.59%"
"09/05/2025","142,640","141,003","143,409","141,003","8.38B","1.17%"
"09/04/2025","140,993","139,832","141,482","139,832","8.03B","0.81%"
"09/03/2025","139,864","140,332","140,496","139,582","7.58B","-0.34%"
"09/02/2025","140,335","141,279","141,279","139,625","8.79B","-0.67%"
"09/01/2025","141,283","141,423","141,950","140,878","4.95B","-0.10%"
"08/29/2025","141,422","141,049","142,379","141,000","9.33B","0.26%"
"08/28/2025","141,049","139,206","142,138","139,206","9.29B","1.32%"
"08/27/2025","139,206","137,773","139,281","137,456","6.61B","1.04%"
"08/26/2025","137,771","138,026","138,037","137,058","8.45B","-0.18%"
"08/25/2025","138,025","137,971","138,890","137,971","5.99B","0.04%"
"08/22/2025","137,968","134,511","138,072","134,511","9.32B","2.57%"
"08/21/2025","134,511","134,664","134,837","133,874","6.52B","-0.12%"
"08/20/2025","134,666","134,430","134,964","134,122","6.85B","0.17%"
